ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit
17910,1,"6) $750 - $1,000",882.35,1,0,Surburban,1,Multichannel,Mens E-Mail,1
20951,1,1) $0 - $100,41.57,0,1,Urban,1,Phone,Womens E-Mail,1
3829,1,2) $100 - $200,120.59,0,1,Urban,1,Phone,No E-Mail,0
14103,1,3) $200 - $350,336.72,0,1,Urban,0,Phone,Womens E-Mail,0
25748,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0
54367,6,4) $350 - $500,396.79,1,1,Rural,0,Multichannel,No E-Mail,0
19798,10,4) $350 - $500,378.47,1,0,Urban,0,Phone,No E-Mail,0
44854,1,1) $0 - $100,99.01,1,0,Urban,1,Phone,No E-Mail,1
4206,7,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,1
2370,10,1) $0 - $100,86.18,0,1,Urban,1,Web,Mens E-Mail,0
9803,6,4) $350 - $500,385.65,1,1,Rural,1,Phone,Mens E-Mail,1
45676,1,2) $100 - $200,179.3,1,0,Surburban,0,Web,No E-Mail,1
31839,4,1) $0 - $100,69.72,0,1,Surburban,0,Phone,Mens E-Mail,0
3217,10,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,0
41315,5,1) $0 - $100,29.99,1,0,Rural,0,Web,No E-Mail,0
46798,1,4) $350 - $500,474.06,1,0,Urban,0,Web,No E-Mail,0
13850,1,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,0
23451,1,1) $0 - $100,79.28,1,0,Rural,0,Web,Mens E-Mail,0
19650,10,1) $0 - $100,30.85,1,0,Surburban,0,Web,Mens E-Mail,0
50827,6,3) $200 - $350,320.66,0,1,Surburban,1,Phone,Mens E-Mail,0
55059,10,3) $200 - $350,302.37,1,0,Surburban,0,Phone,No E-Mail,0
43530,7,1) $0 - $100,48.37,0,1,Urban,0,Phone,Womens E-Mail,0
41337,10,2) $100 - $200,178.57,0,1,Surburban,0,Phone,Mens E-Mail,1
47024,7,5) $500 - $750,724.37,1,0,Urban,1,Phone,No E-Mail,0
14947,2,"6) $750 - $1,000",803.79,0,1,Surburban,1,Phone,Mens E-Mail,0
47778,2,1) $0 - $100,99.6,0,1,Surburban,1,Web,No E-Mail,0
27272,10,1) $0 - $100,29.99,0,1,Surburban,0,Web,Mens E-Mail,0
59935,12,3) $200 - $350,257.82,1,0,Urban,0,Web,Womens E-Mail,1
26530,5,3) $200 - $350,247.1,1,0,Surburban,0,Multichannel,No E-Mail,0
18716,3,1) $0 - $100,55.34,1,0,Urban,1,Phone,Mens E-Mail,0
26213,10,2) $100 - $200,187.76,1,0,Rural,0,Phone,No E-Mail,0
10842,9,2) $100 - $200,133.76,0,1,Surburban,1,Web,Womens E-Mail,0
21572,8,5) $500 - $750,581.68,1,0,Surburban,1,Multichannel,Mens E-Mail,0
22099,4,"6) $750 - $1,000",957.09,1,0,Urban,1,Multichannel,No E-Mail,0
59576,3,"6) $750 - $1,000",852.43,0,1,Surburban,1,Phone,Womens E-Mail,1
56660,6,1) $0 - $100,61.29,1,0,Urban,0,Phone,No E-Mail,0
61549,3,4) $350 - $500,473.18,1,0,Urban,1,Multichannel,Mens E-Mail,1
47461,10,1) $0 - $100,36.22,0,1,Surburban,1,Phone,No E-Mail,0
12103,7,1) $0 - $100,98.49,0,1,Urban,0,Web,Mens E-Mail,1
25628,4,2) $100 - $200,103.21,0,1,Surburban,0,Phone,No E-Mail,0
8372,1,3) $200 - $350,212.71,1,1,Urban,0,Web,Womens E-Mail,0
53104,11,2) $100 - $200,125.0,0,1,Surburban,0,Web,No E-Mail,0
50386,9,1) $0 - $100,29.99,1,0,Surburban,0,Web,Mens E-Mail,0
34279,9,3) $200 - $350,204.0,1,1,Rural,1,Web,Mens E-Mail,0
3951,8,3) $200 - $350,203.87,1,0,Surburban,0,Web,Mens E-Mail,0
29599,7,1) $0 - $100,72.95,0,1,Surburban,0,Web,No E-Mail,0
60915,4,1) $0 - $100,98.5,0,1,Surburban,0,Web,Womens E-Mail,0
7142,8,2) $100 - $200,146.28,1,0,Urban,0,Phone,Womens E-Mail,1
20928,11,1) $0 - $100,92.92,1,0,Surburban,1,Phone,No E-Mail,0
35823,1,5) $500 - $750,650.41,1,0,Rural,1,Multichannel,Womens E-Mail,0
8883,3,2) $100 - $200,148.96,1,0,Urban,0,Web,Mens E-Mail,0
22753,2,3) $200 - $350,204.3,1,0,Surburban,1,Phone,No E-Mail,0
5263,1,5) $500 - $750,666.27,1,1,Urban,1,Phone,Womens E-Mail,0
12113,9,2) $100 - $200,189.23,0,1,Surburban,0,Web,Mens E-Mail,1
41584,8,1) $0 - $100,50.08,1,0,Surburban,1,Phone,Womens E-Mail,0
5060,10,1) $0 - $100,33.56,1,0,Urban,1,Phone,Womens E-Mail,0
54601,9,2) $100 - $200,144.47,0,1,Surburban,1,Web,Womens E-Mail,0
20597,2,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0
